카테고리,키워드,질문
TV,드라마,"제가 학교에서 분장에 대한 발표 준비를 하고있는데요
자료가 필요해서 자료를 찾고있어요ㅜㅜ

벽돌이나 유리병으로 사람 머리를 가격하는 장면이 자료로 필요한데 이런 장면을 가진 영화나 드라마가 뭐가 있을까요? 찾으려니까 생각이 안나네요ㅜㅜㅠ 제발 찾아주세요"
TV,드라마,안녕하세요 이제 중학교 1학년이 되는 현 초6입니다. 저는 1-2년전부터 배우라는 꿈이 생겼습니다. 아직 그냥 꿈일뿐이라 부모님에게는 말하지 안았습니다 곧 얘기할 예정이라 언급하지 말아주셨으면 하구요 연기경력이 아예 없어서 잘될지는 모르겠지만 웹드라마 오디션에 도전해보려고 합니다. 배우는 아직 너무 거창한 꿈 같아서 웹드라마부터 시작해보고 싶습니다. 학원 광고는 신고 하겠습니다 제 나이때의 학생이 들어갈수있는 엔터나 웹드라마 오디션이 있을까요?
TV,드라마,
TV,드라마,드라마를 패러디하고 싶은데 따라하면 저작권법에 걸릴까요..?사람들이 하도 많이 해서 해도 되는줄 알았는데..
TV,드라마,
TV,드라마,드라마 이름 머예요?
TV,드라마,
TV,드라마,와이프가 베트남 사람입니다. 한국 드라마를 좋아 하는데..드라마라는게 언어에 있어서 비유적인 표현도 많다보니 한국말을 다 이해하지 못해요 그래서 한국 드라마 베트남어로 번역되어있는 드라마를 보여주고 싶은데 어디서 어떻게 보여 줄수 있는지 모르겠어요...유료여도 상관없으니 베트남 언어로 번역된 한국 드라마를 볼수있는 사이트나 어플 좀 알려주세요..
TV,드라마,"중국 드라마에서 배우분들 대사 들어보면 성조가 맞지 않는 경우가 대부분인데 성조를 지키지 않아도 그냥 단어들? 발음?( 뭐라고 표현해야 할지 모르겠어요..ㅠ)로 알아듣는건가요?
정확히 아시는분만 답변 부탁드려요!"
TV,드라마,
TV,드라마,"환혼같은 사극드라마인데 로맨스, 판타지가 다 들어가 있는 드라마나 영화 추천해주세요"
TV,드라마,
TV,드라마,재미있는 드라마나 영화 추천해주세요
TV,드라마,
TV,드라마,
TV,드라마,
TV,드라마,
TV,드라마,"https://youtube.com/watch?v=jh9aJpTRZyA&si=swMrodam_FFOeLKe
혹시 영화나 드라마 배경음악 잘 아시는 분 증에 해당 링크 영삼 12:09부터 나오는 bgm 아시는 분 있나요? Mbc 신비한tv 서프라이즈는 물론이고 외화랑 예능에도 은근히 많이 나오는지라 궁금해서요! 빨리 부탁드려요!ㅠㅠ"
TV,드라마,"... 좀 미국드라마는 살짝(?)생소해서...

미국은 영화산업이 워낙 ㅎㄷㄷ하니... 미국드라마는 자국인 미국에서 위상이 어떤가요?"
TV,드라마,드라마 카지노 보면 필리핀이 엄청 치안 안좋고 무서운 나라 같던데 진짜 그런가요 아니면 영화속 얘기에요?
TV,드라마,
TV,드라마,"드라마 마케팅, 홍보 하는 쪽의 일을 하고 싶은데요.
영화 마케팅은 정보가 그나마 보이는 것 같은데 드라마는 잘 못 찾겠어서요.
영화는 전혀 안 본다고 해도 될 정도로 잘 안보고 드라마를 많이 보는데요.
드라마 마케팅, 홍보 쪽은 어떤 자격증을 따면 좋을까요?
Hsk 5급 자격증이 있는데 중국어를 더 공부하는 것도 도움이 될까요?"
TV,드라마,
TV,드라마,드라마 좀 찾아주세요 드라마 내용이 약간 연쇄살인마가 칼로 막 방송하면서 사람 죽이다가 잡히고 벌로? 자신이 죽였던 사람들의 시점을 vr같은거로 직접 공포랑 고통을 느끼는 그런 드라마얐던거 같은데여..살인자 눈이 한쪽이 실명이었나? 약간 그랬던거 같고요 살인자 역 배우가 잘생겼어요 그렇게 뜬 드라마는 아니었던거 같고 유튜브에 짧게 올라온 것들로 봤었는데 ( 미니드라마 같은 느낌이었던 거 같기도 해여) 다시 보고 싶어서 찾는데 안나와요 ㅠ 제발 찾아주세요 ㅠㅠ
TV,드라마,어떤 나라의 금발 공주가 있는데 납치가 된거예요 그런데 공주를 구하려면 국회의원? 이 돼지랑 성관계를 해야 하는 드라마 있었는데 제목이 기억이 안나서 써봅니다
TV,드라마,옛날 드라마 & 현재 드라마 추천 좀 해주세요~
TV,드라마,
TV,드라마,
TV,드라마,
TV,드라마,
TV,드라마,"리모러브
아오바의 식탁
좋아하는 사람이 있다는 건
꾸미는 사랑에는 이유가 있어
해질녘에, 손을 잡는다

같은 드라마 추천 해주세요
+ 롱베케이션 같은 여름드라마도 추천해주세요

드라마 볼때 전체적인 걸 보는데 이 드라마들의 분위기가
제 취향이라 영상미나 분위기가 비슷한 드라마면 좋을 것 같아요

리치맨 푸어우먼, 호타루의 빛, 스님을 사랑한 시간, 노다메 칸타빌레, 고독한 미식가 같은 드라마들은 다 봤습니다.

내용은 음식이 중점이여도 좋고 사랑도 좋고 아기자기 도란도란한 일상이여도 좋아요, 너무 유치하거나 추리,스릴러만 아니면 됩니다.
추리는 한국드라마로 맨날 봐서요

아까도 이 질문을 올렸는데 제가 적은 드라마로 그럴듯하게 쓴 답변이 달려서 다시 올립니다

이왕이면 검색했을 때 나오는 제목으로 올려주세요 부탁드립니다."
TV,드라마,
TV,드라마,요즘 일본드라마가 보고싶은데 팀 매디컬 드래곤을 보고싶은데요 이걸 볼수있는 사이트나 ott없을까요?
TV,드라마,옛날 일본드라마인데 제목이 뭔가요?
TV,드라마,여주가 불쌍한 로맨스 슬픈 드라마 추천해주세용 여주가 막 상황적으로 불쌍했으면 좋겠어요 그래서 남주와 잘 돼가는~~~^^^그런^^^ㅜㅜㅠ
TV,드라마,
TV,드라마,"넷플릭스에서 운동 관련 드라마를 보고싶은데
은근 없더라구요...
저는 배드민턴 관련이면 더 좋긴한데 라켓 소년단 빼고는 잘 없는것 같더라고요(라켓소년단은 7번 이당 다시 봤어요...)
배드민턴 관련 아니여도 돼니까 그냥 웅동 관련 드라마 좀 많이 추천해주세요..


내공300"
TV,드라마,
TV,드라마,
TV,드라마,"""대만드라마"" 이걸 현지에서 표기할때 보통어떻게 적나요

중국기준으로"
TV,드라마,
TV,드라마,"웹툰이나 영화 장르 종류 중에 드라마가 있잖아요
그건 어떤 장르인가요
정확하게 모르겠어요
그냥 티비로 보는 드라마와 다른가요"
TV,드라마,"로맨스드라마 추천해주세요!(많이)
결말은 해피엔딩이였으면 좋겠고여 너무 오래전 드라마는 아니였음 좋겠어여"
TV,드라마,
TV,드라마,
TV,드라마,"드라마 결혼해주세요는 정유경 작가가 집필했고 박만영 피디가 연출했고
후속작 드라마 사랑을 믿어요는 조정선 작가가 집필했고 이재상 피디가 연출했지만
드라마 결혼해주세요,드라마 사랑을 믿어요 작가가 바뀌었어야 했고
드라마 결혼해주세요를 조정선 작가가 집필했어야 했고
드라마 사랑을 믿어요를 정유경 작가가 집필했어야 했어요?
드라마 결혼해주세요를 조정선 작가가 집필하고
후속작 드라마 사랑을 믿어요를 정유경 작가가 집필했다면 어땠을까요?
드라마 결혼해주세요,드라마 사랑을 믿어요 작가가 바뀌어서
드라마 결혼해주세요를 작가 조정선,피디 박만영이 각각 집필,연출하고
드라마 사랑을 믿어요를 작가 정유경,피디 이재상이 각각 집필,연출했다면 어땠을까요?"
TV,드라마,
TV,드라마,그 일본 드라마인지 영화 인지는 모르겠는데 내용이 남자애가 이어폰을 양쪽 다 꼽고 있는데 여자애가 가면서 남자애한테 좋아한다고? 말을 하는데 남자애가 암말도 안하고 그냥 가서 못들었다 생각 했는데 남자애가 갑자기 나도? 약간 요런식으로 말하는 그런… 느낌인데 제목이 모져…
TV,드라마,"공중파든 비공중파든
신인드라마작가들을 많이
써주더라고요
신인드라마작가가 쓴
드라마도 많이 방송
시키고요
kbs tvn은
단막극으로 신인
드라마작가들의 데뷔작을
많이 방송시켜요
근데 신인드라마작가들 치고
드라마 잘쓰는 작가들은
별로 적어서요
비밀의숲이란 드라마 쓴
작가랑 결혼작사이혼작곡 시리즈
아씨두리안 쓴 작가가 대표적이죠
유명한드라마작가들 이나
경력 인맥 있는 드라마작
가들에게 부탁해서 괜찮은
드라마 쓰게 하는게
더낫잖아요
왜죠"
TV,드라마,
TV,드라마,"제 나이는 16세고요
1. 청춘드라마.영화ex)스물다섯 스물하나
2.로맨스 드라마.영화 ex)노트북
3.인생에 대한 것을 알려주는 드라마.영화 ex)소울
4.진로에 대해 알수있는 영화.드라마
제가 써놓은 예시같은 영화.드라마 추천 부탁드릴게요!! 에 다 합쳐서 8개 이상 추천부탁드려요 시청률까지 알려주시면 더 감사합니다"
TV,드라마,"이제 곧 죽습니다 라고 티빙 드라마가 곧 있으면 해요.

근데 이 드라마가 티비로도 방영이 될지 모르겠네요.

혹시 알고 계시면 알려주세요..

내공 150 입니다."
TV,드라마,
TV,드라마,"태양의후예,슬기로운의사생활,사랑의불시착,닥터스
이 네개의 드라마가 제 최애 드라마인데요
이 드라마들이랑 비슷한 드라마 추천드려요
악역은 없고 약간 보면 힐링되는 드라마쪽으로.."
TV,드라마,
TV,드라마,
TV,드라마,
TV,드라마,"미용 전공하고 있는 학생입니다! 궁금증이 생겨서 질문 남겨용 보통 드라마나 사극 촬영이나 영화 촬영할때 배우분들 메이크업 이나 분장을 샵에서 메이크업 아티스트 분들이 출장와서 해드리나용..? 아니면 분장 업체 같은 곳에서 분장사 분들이 오셔서 하시나용..?
그리고 드라마나 영화 촬영 같은 현장에서 일하려면 어떤 루트로 취업 해야 할까용..?"
TV,드라마,
TV,드라마,모던 패밀리나 프렌즈 같은 장편 일상 드라마 있나요?? 독일어 공부하려고 하는데 드라마가 없어서요 ㅠㅠ
TV,드라마,
TV,드라마,"꽤 옛날에 햇던드라마고 어떤 든든하게생긴남자가 집을 핑크로 꾸며놓고 자기가 여자라고하는데 근처에잇는 초등학생여자애랑 같이 막하고 아줌마들 오해받고 그런드라마에용
찾아주새요ㅜㅜ"
TV,드라마,"원작은 초반만 보고 안봐서 결말을 몰라요 근데 웹드라마 같은 경우 결말이 바뀌는 경우도 있잖아요?
이번 생도 잘 부탁해 웹드라마는 원작과 결말이 다른가요? 드라마에서는 반지음이 기억을 잃는데 네이버에서 찾아보니까 원작에서는 기억을 안 잃는다고 하더군요 그럼 결말 원작은 어떻게 되는 거죠? 그리고 웹툰과 드라마의 내용이 엄청 차이가 날 정도인가요? "
TV,드라마,‘우’로 시작하는 드라마 제목좀 최대한 많이 알려주세요
TV,드라마,
TV,드라마,
TV,드라마,
TV,드라마,
TV,드라마,드라마 시청률  몇 퍼센트면 좋은 건가요
TV,드라마,
TV,드라마,이거 무슨 드라마인지랑 몇 화인지 알려주세요.. 
TV,드라마,"갑자기 치인트 백인호한테 꽂혀서 볼려고 하는데 웹툰이랑 드라마 내용이 꽤 다른편인가요?
드라마 먼저 보면서 웹툰도 조금씩 볼까하는데ㅠㅠ"
TV,드라마,
