카테고리,키워드,질문
쇼핑,생활용품,"안녕하세요.

저는 중국에서 물건 수입 후 국내에서 도매업을 준비하고 있습니다.
그래서 준비 과정에서 '전기용품 및 생활용품 안전관리법'이라는걸 알게 되었는데
관련 질문좀 드립니다.

1. 제가 수입 후 도매하는 제품은 '슬리퍼'인데 '전기용품 및 생활용품 안전관리법'이 적용되나요?
2. 원산지만 적혀있으면 수입 후 도매 활동하는데 지장이 없을까요?
(도매는 온라인이 아닌 오프라인)
3. 슬리퍼로 도매 활동에 있어 제가 지켜야할 법적표기사항 같은거 있으면 같이 답변 부탁드립니다.

위 3가지 확인 후 답변 부탁드립니다."
쇼핑,생활용품,"시드니에서 살고있는데 호주사람들은 보통 생활용품 어디서 사나요?? kmart같은곳은 너무 저렴한 제품들이라 저런거 말고 진짜 생활용품샵 없을까요??
이불도 새로 구매해야하는데 어디서 사야할까요
주방도구는 주방용품샵이 좀 있는 거 같던데
호주 사람들이 주로 가는곳이 있나요?"
쇼핑,생활용품,"균일가 생활용품 판매점(다이소 아님)을 운영하고 있는데, 일본 드럭스토어에서 인기있는 상품들을 병행수입하여 판매해보려고 계획중입니다.

동전파스, 클렌징폼, 일본 식풍등을 판매해보려 하는데 문제가 되는 부분이 있을까요?
의약외품 판매허가는 받아놓은 상태입니다."
쇼핑,생활용품,"지인분께서 마사지샵 오픈을 계획중이라
강남, 하남쪽으로 생활용품도매 저렴한곳
알아보고 있습니다"
쇼핑,생활용품,
쇼핑,생활용품,금속과 비금속의 특징을 이용한 생활용품이 뭐가 있을까요 도저히 찾아도 안나와서 질문해봅니다ㅠㅠㅠ
쇼핑,생활용품,"제목 그대로 궁금합니다
생활용품이라는 범위 안에 자전거나 스쿠터도 포함이 되나요?"
쇼핑,생활용품,
쇼핑,생활용품,
쇼핑,생활용품,
쇼핑,생활용품,"해외 쪽에 소개 하고 싶은 중소기업의 좋은 생활용품들을  찾고 싶은데 어디가면 모두 볼수 있을
가요?
용품들은 주로 소형 가전 주방용품 잡화 등등 특허 받은 제품들 ,, 등등 아뭏튼 소개 사이트던 아시는 분 계시면 정보 부탁 드립니다."
쇼핑,생활용품,"제품을 몇개 제작중데 안전인증을 받아야한다고 어디서 들어서 알려보려고 하는데
이런 제품인증에 대해서 완전 문외한 입니다.  
인증 종류가 여러가지던데 kc,kcl,kcs,sgs 등 굉장히 여러가지 던데 어떤 인증을 받아야 하는지 모르겠습니다. 

제작중인 제품은 비누받침대와 팔이나 얼굴마사지하는 괄사(전기사용x) 입니다. 
다 플라스틱으로 제작되고 겉에 도금을 했습니다. 

보통 전기제품이나 유아용품같은경우 kc인증이 필요하다라는 정도만 상식적으로 알고 있는데
비누받침대가 괄사 같은경우에도  kc인증을 받나요? kc인증이 적합하지 않다면 어떤 인증을 받아야 하나요? 

그리고 만약 인증을 받지 않고 팔게 될때 문제점이 무엇인가요? 불법으로 벌금을 내게 되나요? "
쇼핑,생활용품,
쇼핑,생활용품,
쇼핑,생활용품,
쇼핑,생활용품,쿠팡보다 더 저렴한 가격으로 생활용품을 구입할 수 있는 쇼핑몰 추천 부탁드려요.
쇼핑,생활용품,
쇼핑,생활용품,
쇼핑,생활용품,... 그래서 준비 과정에서 '전기용품 및 생활용품... 및 생활용품 안전관리법'이 적용되나요? 2. 원산지만... 전기생활용품안전관리법에 따른 안전기준준수대상 ...
쇼핑,생활용품,생활용품으로 여성 ㅈㅇ기구 만드는 방법이 궁금합니다.
쇼핑,생활용품,
쇼핑,생활용품,안녕하세요 제목 그대로 AC/DC 컨버터는 수입 시 전파법 그리고 전기용품 및 생활용품 안전관리 요건 대상인가요? hs코드와 함께 근거까지도 같이 제시해주시면 감사하겠습니다
쇼핑,생활용품,우리 주변에 있는물건중 과학원리가 적용된 물체가 뭐가 있을까요? 쉬운 과학원리로 설명할수있는거면 좋겠습니다
쇼핑,생활용품,"헌법에는 명시되지 않았지만
국가기술표준원의 생활용품 안전기준에 명시된
안전인증기준은 법적효력을 가지고 있나요?

1. 만약 법적효력을 가지고 있다면 안전기준도 헌법과 동등하거나
그에 상응하는 위치라고 볼수 있나요?

2. 만약 법적효력을 가지고있지 않다면 안전기준을 초과해도
불이익이 있나요?"
쇼핑,생활용품,
쇼핑,생활용품,
쇼핑,생활용품,마스크나 식품같은 생활용품 싸게 살 수 있는 쇼핑앱 추천 해주세요
쇼핑,생활용품,"2천만원의 민사 소송에서 이겨 상대방의 잔세권과 생활 용품에 대하며 가압류를 진행 하려합니다.
질문은 전세계약서는 소송 상대자 명의로 되어 있는데 세대주는 그의 아들로 되어있는 경우 전세권 가압류가 가능한지와 생활용품등의 가압류도 가능한지 두가지를 묻고 싶습니다."
쇼핑,생활용품,"2017년에 공산품 관련 법령이 폐지되고 전기용품 및 생활용품 안전관리법 으로 통합(?)되었다고 알고있습니다.

그러면.. 기존의 공산품은 결론적으로,
전기용품, 생활용품 두가지로 나뉘게 되며, 해당 KC인증을 받지 않은 생활용품은 모두 법적으로 위반한 상품이 되는건가요?"
쇼핑,생활용품,... 그래서 준비 과정에서 '전기용품 및 생활용품... 및 생활용품 안전관리법'이 적용되나요? 2. 원산지만... 전기생활용품안전관리법에 따른 안전기준준수대상 ...
쇼핑,생활용품,... 그래서 준비 과정에서 '전기용품 및 생활용품... 및 생활용품 안전관리법'이 적용되나요? 2. 원산지만... 전기생활용품안전관리법에 따른 안전기준준수대상 ...
쇼핑,생활용품,
쇼핑,생활용품,"학교 과제인데 식물의 특징을 활용한 생활용품을 만들어오라네요
초등학교 4학년이 만들만한 식물의 특징을 활용한 생활용품좀 추천해주세요"
쇼핑,생활용품,향 좋은 섬유유연제랑 기타 생활용품들 추천부탁드려요
쇼핑,생활용품,
쇼핑,생활용품,"국내에서 신발을 제조하여 유통 중입니다.

전기용품 및 생활용품 안전관리법에 의한 표시로

Tag에 기본적으로 기재해야 하는 내용은 무엇이 있을까요?

소비자 가격도 기본 표시 항목인가요?"
쇼핑,생활용품,"학교에서 카프라 갈고 자르고 해서 생활용품 2가지 만들라는데 추천해주세요 ex) 연필깎이,연필꽂이
냄비 받침대 처럼 단순한건 안됩니다"
쇼핑,생활용품,
쇼핑,생활용품,
쇼핑,생활용품,... 그래서 준비 과정에서 '전기용품 및 생활용품... 및 생활용품 안전관리법'이 적용되나요? 2. 원산지만... 전기생활용품안전관리법에 따른 안전기준준수대상 ...
쇼핑,생활용품,"생활용품 쇼핑몰 어디가면 좋을까요..?
나가기도 귀찮고.. 그렇다고 오픈마켓들 이용하려니.
컴퓨터가 너무 느려져서요..
 생활용품 쇼핑몰 괜찮은곳 알고 계시면
추천 부탁드리겠습니다..
 여려가지 생활용물을 취급하는곳이면
좋겠네요..부탁드립니다 ^^;"
쇼핑,생활용품,"인천에 호텔이나 리조트 생활용품 업체 어디가 좋을까요??

생활용품 뭐 예를들어서
고무장갑, 변기솔, 쓰레기봉투, 휴지 , 락스, 세제, 1회용 슬리퍼 , 칫솔치약세트 등등이요!!"
쇼핑,생활용품,
쇼핑,생활용품,베개 수입하여 판매하려고 하는데 전기용품 및 생활용품안전관리법 관련 라벨에 기재해야하는 내용이 뭔지 궁금합니다.
쇼핑,생활용품,"안녕하세요.

다름이 아니라, 제가 생활용품 아이디어가 떠올라서 제품특허 등록 및 디자인특허 등록을 하려고 하는데요.
처음이다 보니, 특허등록을 어떻게 해야 할지 막막합니다.

(현재, 아이디어만 있고, 해당 상품을 만들 능력은 없습니다...제품 아이디어는 총 4건정도 됩니다.)

그래서 질문 올립니다.

1. 생활용품 특허등록시, 아이디어 제품을 꼭 실물로 만들어야 하나요?

2. 제품 디자인을 등록하려고 하는데, 디자인시 꼭 컬러로 해야 하나요?
그리고, 손으로 그린 디자인도 괜찮나요?

3. 특허(아이디어&디자인) 등록시, 대한민국에서 특허 등록하면,
해외에도 동일하게 적용되나요?
아님, 해외 특허도 별도로 진행해야 하나요?

4. 셀프로 특허등록하는 절차 알수 있을까요?

5. 생활용품 특허(아이디어&디자인) 등록하려면, 1건당 대략적인 비용은 얼마인가요?
그리고, 국내특허 등록 외에도, 해외도 등록하려면 비용이 얼마나 들까요...
(셀프로 등록시 비용 , 변리사사무소 도움 받을시 대략적인 비용 궁금합니다.)



1~5번까지 성실하게 답변해 주실분만 답변 부탁드립니다.
기계적인 답변 및 광고글 사양합니다.^^

감사합니다."
쇼핑,생활용품,... 그래서 준비 과정에서 '전기용품 및 생활용품... 및 생활용품 안전관리법'이 적용되나요? 2. 원산지만... 전기생활용품안전관리법에 따른 안전기준준수대상 ...
쇼핑,생활용품,... 그래서 준비 과정에서 '전기용품 및 생활용품... 및 생활용품 안전관리법'이 적용되나요? 2. 원산지만... 전기생활용품안전관리법에 따른 안전기준준수대상 ...
쇼핑,생활용품,
쇼핑,생활용품,
쇼핑,생활용품,
쇼핑,생활용품,"Cu편의점생활용품다포인트적립되나요.
생활용품들중 안되는것도있나요."
쇼핑,생활용품,"안녕하세요

중국에서 아래와 같은 물기제거용 타월을 수입하려고 합니다. 
중국-한국 수입시 관세율이 어떻게 되는지 답변 부탁 드립니다. 

혼용율: 폴리에스테르100%
타월사이즈: 가로 90cm 세로 70cm"
쇼핑,생활용품,"전기용품 및 생활용품 안전관리법에 따른 안전관리대상이 뭔가요?
일본 대행 에서 장난감 하나 살려는데 물건 표시에 저게 써있어서요"
쇼핑,생활용품,... 그래서 준비 과정에서 '전기용품 및 생활용품... 및 생활용품 안전관리법'이 적용되나요? 2. 원산지만... 전기생활용품안전관리법에 따른 안전기준준수대상 ...
쇼핑,생활용품,
쇼핑,생활용품,"안녕하세요.
아래의 사진처럼 와인잔과 병을 꽂는 홀더를 중국에서 제작해서 국내에 판매하려고 합니다.
한글품질표시에 어떤게 들어가야 되나요?
제품명, 재질, 제조년월, 원산지, 수입판매원, 소재지, 반품 및 교환처, 소비자상담번호, 주의사항
이것만 있으면 되나요?
빠진게 있거나 없어도 되는 항목이 있는지 궁금합니다."
쇼핑,생활용품,"학교 숙제인데요, 아직 생각을 못해서요..ㅠㅠ 개선이 필요한 생활용품좀 알려주세요!! 개선이 필요하다면 어떻게 바꿔야 할지 알려주세요!!
내일 8시 20분까지 알려주세요!!
내공 500겁니다!!ㅠㅠ"
쇼핑,생활용품,"오늘 코로나 양성판정을 받았습니다
아직도 코로나 생활용품 지원해주나요? 지원해준다면 어디서 신청하는건가요? 빠른답변부탁드립니다! ((복붙삭제합니다 , 내공50"
쇼핑,생활용품,
쇼핑,생활용품,
쇼핑,생활용품,
쇼핑,생활용품,물생활 용품 최저가 사이트는 뭐가 있나여? 
쇼핑,생활용품,
쇼핑,생활용품,생활용품점 있나여
쇼핑,생활용품,"이런데서 파는거 다 거기서 거기인가요 다 비슷하죠

(다이소 제외

생활용품점인데 이름만 다르게 해서 파는곳 물건들 다 같은가요

정품은 아니죠


 마트 거 보다 못하구요 (슈퍼 에서 파는거 랑 같은 품질  등등요

한눈에 등등이요"
쇼핑,생활용품,"휴지나 치약칫솔같이 생활용품 싸게 파는 쇼핑몰이나
할인판매앱 같은거 추천부탁"
쇼핑,생활용품,"안녕하세요. 이번에 방석을 수입해서 판매하려고 하는데 면방석으로
전기생활용품안전관리법에 품질표시를 해야한다고 알고있는데요.

1. 섬유의 조성 또는 혼용률
- 겉감
- 안감
- 충전재 (충전재를 사용한 제품에 한 한다)
다만, 다운제품은 솜털 (다운), 깃털 (페더),
기타로 구분하여 %로 표기
2. 제조자명 또는 수입자명
3. 제조국명
4. 제조연월, 최초판매시즌, 로트번호 등의
어느하나를 표시
5. 치수
6. 취급상 주의사항 / 기호4개
7. 표시자 주소 및 전화번호
판매자명: ㅇㅇㅇ
주소: ㅇㅇㅇㅇ
소비자상담실; ㅇㅇㅇ
반품 및 교환: 구입처

이런식으로 만들어야되는거 까지는 알겠는데 이게 미싱으로 방석에 붙어있어야 하나요? 아니면 택처럼 그냥 땔수있어도 되는건가요?

그리고 여러가지 제품을 살펴보던중 영어로 써있는것도 있고 한자로 써있는것도 있던데
외국어도 상관이 없는건가요? 

감사합니다."
쇼핑,생활용품,어깨랑 목 부근이 너무 아파서 집 근처 생활용품점에서 안마기 구매하려고 하는데 생활용품점에도 안마기 판매하나요? 판매한다면 얼마 정도 할까요?
쇼핑,생활용품,
쇼핑,생활용품,
쇼핑,생활용품,"이런 틀에 뭐 생활용품 같은거 만들고 싶은데 , 뭐 없을까요? 레진용액을 다써서 할게 없거든요. 아 글고 지난번에 유튜브에서 젤리비누란게 있어서 대충 젤라틴이랑 액체비누랑 섞어서 잘 만들었거든요 . 이런거처럼 간단한거 추천좀요!! 막 전문적인 재료는 없어요.. 비누말고 간단한 걸로요 (내공400)"
쇼핑,생활용품,"생활용품 분야의 효소 사례랑 작용 원리 좀 알려주세요ㅠㅠ
학교 수향으로 팀을 짜서 하는건데 제가 과학을 많이 못해서 가능한 팀 친구들한테는 피해를 주고 싶지 않은데 아무리 찾아봐도 잘 모르겠어요 효소 세제랑 식혜,요 검서지를 제외하고 좀 알려주세요ㅜㅜㅜ"
쇼핑,생활용품,"수전을 구매하려고(세면대수도꼭지) 고민중인 소비자입니다.

두가지 제품 중 고민인데
한 제품은 kc인증을 ‘생활용품’ 으로 받았고
한 제품은 kc인증을 ‘수전’이라고 받았더라구요

KC인증을 받을 때 일반적인 생활용품으로 인증을 받는 것과
‘수전’ 이라는 구체적인 용도로 인증 받은 것에서
안전에 있어서 차이가 있을까요?

뭘 선택하는게 더 나을까요?
아니면 차이가 없을까요~?"
쇼핑,생활용품,
쇼핑,생활용품,"말그대로 위의 제목처럼 생활에 필요한 생활용품과 스포츠용품을 취급하는 사업자 등록을 하고 싶습니다.

사업자등록을 하려면 업종코드를 알아야 한다고 하던데, 위의 업종 코드는 어떤건가요?

그리고 사업자등록에 2가지를 한꺼번에 다 등록하는게 가능할까요?

처음하는거라 알아볼게 참 많네요... 도움 부탁드립니다."
쇼핑,생활용품,
쇼핑,생활용품,"제가 이번에 가게를 오픈하는데..
판촉물제작해서 3개월간 홍보하려고 하거든요
생활용품중에 다양하게 몇가지 정해서  대량 구매하고싶은데...
 가격 저렴하면서 제품 다양하고 판촉물인쇄 해주는
생활용품쇼핑몰 추천좀 해주세요..
 어떤곳은 불량품도 막 섞어서 보내주던데..
친절하고 믿을수 있는 생활용품쇼핑몰 아시는분
답변좀 빨리 달아주세요..
 "
쇼핑,생활용품,
쇼핑,생활용품,생활용품에서 효소의 이용 사례를 효소가 a를 b로 분해한다 이런식으로 알려주세용
쇼핑,생활용품,기가수행으로 생활 용품의 불편한 점을 개선한 발명품을 구상해야하는데 물병으로 발명한 개선된 용품이 있을까요?ㅜㅜ발명명칭 이랑 출원번호(일자) 출원인 기재하는게 필요해요ㅜ알려주신 분께 제뽀뽀 드릴게요 ㅜㅜㅜ내공50
쇼핑,생활용품,"생활용품점 오픈예정인데
들으면 바로 기억될만한 이름 뭐가있을까요?"
쇼핑,생활용품,
쇼핑,생활용품,
쇼핑,생활용품,
쇼핑,생활용품,"제가 재활용품으로 생활용품을 만들고 싶은데
아이디어가 생각이 안나서..
어떤 재료로 어떤 물건을 만들면 좋을까요?"
쇼핑,생활용품,... 그래서 준비 과정에서 '전기용품 및 생활용품... 및 생활용품 안전관리법'이 적용되나요? 2. 원산지만... 전기생활용품안전관리법에 따른 안전기준준수대상 ...
쇼핑,생활용품,온도와 관련된 날씨 생활용품이 있나요??
쇼핑,생활용품,
쇼핑,생활용품,"저희가 골프용품을 거래 하던 업체가 이번에 공공기업 폐쇠몰등에 납품을 하자고 
생활용품 청소용품 주방용품등등 많은 제품을 알아봐달라고 하고 있습니다.
도매제품을 취급하시는분이 있으실까요???"
쇼핑,생활용품,"화장실에서사용하는 코세척기나면도기를 세척?소독?하고싶은데 과탄산소다,구연산,베이킹소다 이셋중 어떤걸 물에타서 담궈두는게 좋은가요? 사용법이헷갈리네용"
쇼핑,생활용품,"저는 지금 중국 이우시장에서 물건 수입해와서 한국에서 도매업 하고 있습니다
그런데 베트남에도 알아보고 있는데 베트남에도 중국 이우시장처럼 생활용품이나 잡화,장남감,차량용품등 도매시장이 있나요?
위치가 궁금합니다
그리고 베트남에서 물건 수입해와서 팔면 경쟁력이 있을까요?"
쇼핑,생활용품,"문고리, 전등스위치, 화장실전등, 전구등

구매하고자 하는데요

단말기영수증(상세내역 나오게)

발급 가능한 매장이 부천에 있을까요?"
