카테고리,키워드,질문
정치 경제,부동산,"부동산 가압류의 소멸시효
상기 제목에 대해서 자세한 설명 부탁드립니다."
정치 경제,부동산,"임대인과 중개사가 말을 지속적으로 번복하여 신뢰가 깨진 상황이라 부동산매매계약파기하고 싶습니다.
저쪽에서는 부동산매매계약파기하면 자기들이 손해라며 민사소송 걸겠다는데 너무 뻔뻔하네요.
지금 제가 부동산매매계약파기와 더불어 이에 대해 피해를 입었기에 민사소송을 걸어야 하는 상황입니다.
혹시 부동산매매계약파기 시 문제 없이 진행하고 싶고, 임대인과 중개사 상대로 손해배상청구하고 싶은데 가능할까요?"
정치 경제,부동산,"부산부동산전문변호사 알아보는 중
q: 집주인한테 전세보증금을 못 돌려받고 있습니다...이거 전세사기 아닌가요? 이와 관련해 부산부동산전문변호사에게 도움을 요청하고 싶은데요. 부산부동산전문변호사 추천 부탁드립니다. "
정치 경제,부동산,"부동산 공인중개사 사기는 경찰서, 그리고 어디에 신고할 수 있나요?"
정치 경제,부동산,
정치 경제,부동산,
정치 경제,부동산,
정치 경제,부동산,"1. 특정 용도에 사용할 수 없는 부동산인데 사용할 수 있다고 적극적으로 속이고 결국 재산상의 이익까지 얻은 경우 사기죄가 성립하나요?

2. 만약 피해자가 부동산 정보를 확인하는 등으로 기망임을 알 수 있었던 경우라면 사기죄 성립에 영향을 주나요?"
정치 경제,부동산,부동산로펌이라는 곳이 있을까요? 부동산 거래를 했는데 상대방이 부동산 거래가 취소되어야 한다고 소송을 해왔습니다. 그래서 이 부동산 소송에 대응을 해야할거 같은데 부동산로펌에 부동산전문변호사와 상담을 하고 대응방법을 찾고 싶습니다. 어떻게 해야 하나요?
정치 경제,부동산,"부동산의 수용으로 인해 라는 말이 생소한데요...

제가 아는 부동산의 수용은 국가가 재개발을 하기 위해 기존 소유주들에게 수용권을 행사함으로 땅의 소유권을 국가가 가지게 된다 정도로만 알고 있는데 교과서에 나온 '부동산의 수용으로 인해' 라는 말은 다른 뜻인 것 같아서요..

부동산이 수용당했는데 법인세를 왜 내야하나요? (부동산 수용의 대가로 돈을 받았으니까?..인가요?)"
정치 경제,부동산,"전세사기 당해서 제가 살고있는 빌라는 이미 경매로 넘어갔고 건물주(집주인)는 잠수타서 보증금을 돌려받을 수 없는 상황입니다..
건물 계약당시 아는지인이 부동산을 해서 지인 부동산 통해서 계약했습니다
작년에 지인이 건물이 경매로 넘어가도 보증금 받을 수 있다고 해서 들어왔는데 건물경매로 넘어가고 나서 서류 떼보니까 제가 14명중 13번째로 들어와서 돈을 아예 받을 수도 없더라구요..
앞에 전세 세입자들만 10가구에 전세금 다 합치면 10억은 그냥 넘더라구요.. 애초에 들어가면 안되는 집이였던거죠..
그래서 부동산 고소를 했는데 소송에서 이길 수 있을까요..?
부동산은 본인도 건물주한테 사기 당한거다 라고 주장하더라구요.."
정치 경제,부동산,"상가 점포를 부동산을 통해 임대계약을 하였습니다.
시스템 에어컨이 있어 약간의 권리금을 주고 계약을 했습니다.
그런데 막상 들어가보니 냉난방기가 아니라 냉방만 되는 시스템 에어컨이였습니다.
부동산은 자기도 몰랐다며 나몰라라 하는데 엄연히 부동산 책임이 있지 않나요?
그냥 배째라는 식인데 제가 어떻게 대응 해야할까요? "
정치 경제,부동산,"제가 과거에 유학을 와서 그 당시 군대를 안 갔고 미국에서 영주권을 받아 현재까지 살고 있습니다. 그리고 영주권자 (국적은 한국)가 군대연기를 할 경우 60일 이상 국내에 체제하면서 각종 사업을 할 수 없고 183일 이상 체류할 수 없다는 것도 알고 있습니다. 


하지만 60일 이상 국내에 체류하지 않고 부동산을 취득할 경우에도 (취득 후에는 국내가 아닌 미국에서 체류) 부동산 수익을 소득으로 보고 군대에 갈 수 있나요?"
정치 경제,부동산,"* 계약일 : 2022년 5월
* 만료일 : 2024년 5월

제가 오피스텔에 계약해서 거주 중 좋은기회가 생겨
12월경 이사를 계획중이라 9월 16일 집 주인에게
1차로 연락시도했는데 전화연결이 안되어서
문자메세지로 사실내용을 알렸습니다.

그리고 전세계약서 특약사항 중 계약만료 전 퇴실시
임차인이 임대한다.(중개수수료,청소비포함) 이 있어서
부동산에 연락을 했더니 집주인이 재산세미납으로
집 압류가 잡혀있어서 집을 못 내놓는다고 하더라구요.
임차인 연락은 안받더니 부동산이랑은 연락이 되어
12월중으로 해결해 주겠다고 해서 믿고 기다렸는데..
오늘 집주인은 아예 전화기를 꺼놓은 상태고
부동산에 연락을 했더니 집 주인이 몇일전 연락이 와서
가지고 있는 집을 내놓을테니 팔아달라고 했답니다.
그전까지는 전세금 못내어준다고....했다는데

이거 전세 사기인가요??
제가 마냥 기다릴수도 없고 집 주인은 연락도 안되고
오늘 꺼놓은 전화기에 메세지를 또 보내놨습니다.
연락이라도 달라고......
저에게는 큰 돈입니다.. 어떻게 해야하는지 알려주세요"
